City,Latitude,Longitude,Maximum Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date and Time
Sobolevo,54.4299,31.8996,42.96,70,12,5.73,RU,2022-05-22 19:21:36
Ribeira Grande,38.5167,-28.7,64.8,100,75,2.3,PT,2022-05-22 19:21:37
Amahai,-3.3333,128.9167,77.83,87,99,1.9,ID,2022-05-22 19:21:37
Nanortalik,60.1432,-45.2371,37.51,98,100,6.85,GL,2022-05-22 19:21:37
Kenitra,34.261,-6.5802,68.76,77,48,7.49,MA,2022-05-22 19:20:17
Los Llanos de Aridane,28.6585,-17.9182,67.75,76,75,16.11,ES,2022-05-22 19:21:38
Caravelas,-17.7125,-39.2481,74.57,66,2,6.96,BR,2022-05-22 19:21:38
Sitka,57.0531,-135.33,49.89,81,100,8.05,US,2022-05-22 19:19:35
Carnarvon,-24.8667,113.6333,70.86,57,33,18.01,AU,2022-05-22 19:21:39
Lebu,-37.6167,-73.65,52.27,87,100,11.05,CL,2022-05-22 19:19:52
Rosetta,31.4044,30.4164,68.59,83,0,15.93,EG,2022-05-22 19:21:39
Rikitea,-23.1203,-134.9692,75.85,76,2,13.69,PF,2022-05-22 19:21:33
Setermoen,68.861,18.3486,53.56,100,100,3.56,NO,2022-05-22 19:21:40
Voh,-20.9667,164.7,72.73,91,2,5.06,NC,2022-05-22 19:21:40
Albany,42.6001,-73.9662,90.91,49,86,1.01,US,2022-05-22 19:12:03
Barrow,71.2906,-156.7887,21.22,93,100,9.22,US,2022-05-22 19:20:01
Bluff,-46.6,168.3333,50.31,73,100,24.79,NZ,2022-05-22 19:21:41
Rawson,-43.3002,-65.1023,48.7,83,100,19.24,AR,2022-05-22 19:21:41
Sorong,-0.8833,131.25,77.67,78,100,3.91,ID,2022-05-22 19:21:41
Berlevåg,70.8578,29.0864,40.95,81,75,6.91,NO,2022-05-22 19:21:42
Vaini,-21.2,-175.2,75.36,94,40,4.61,TO,2022-05-22 19:21:42
Kahului,20.8947,-156.47,82.42,51,40,14.0,US,2022-05-22 19:17:38
Touros,-5.1989,-35.4608,79.3,85,24,13.62,BR,2022-05-22 19:21:43
Jasper,37.2001,-94.3502,65.01,48,100,8.05,US,2022-05-22 19:19:50
Yellowknife,62.456,-114.3525,37.92,75,100,8.05,CA,2022-05-22 19:20:03
Grand Gaube,-20.0064,57.6608,75.6,76,7,3.0,MU,2022-05-22 19:21:43
Codrington,-38.2667,141.9667,43.59,95,4,7.72,AU,2022-05-22 19:21:34
Cabo San Lucas,22.8909,-109.9124,84.61,44,0,3.44,MX,2022-05-22 19:20:09
Cidreira,-30.1811,-50.2056,62.58,66,100,4.29,BR,2022-05-22 19:21:44
Nicoya,10.1483,-85.452,88.05,60,86,4.97,CR,2022-05-22 19:21:44
Kaitangata,-46.2817,169.8464,46.53,84,83,13.11,NZ,2022-05-22 19:21:45
Tasiilaq,65.6145,-37.6368,33.96,97,100,8.03,GL,2022-05-22 19:21:45
Punta Arenas,-53.15,-70.9167,41.11,65,75,11.5,CL,2022-05-22 19:20:00
Garhwa,24.1833,83.8167,82.87,42,2,3.91,IN,2022-05-22 19:21:46
Qaanaaq,77.484,-69.3632,25.36,77,100,2.71,GL,2022-05-22 19:16:52
Atuona,-9.8,-139.0333,77.34,81,31,17.4,PF,2022-05-22 19:21:46
Pisco,-13.7,-76.2167,67.01,77,75,11.5,PE,2022-05-22 19:21:47
Hobart,-42.8794,147.3294,50.25,85,100,10.36,AU,2022-05-22 19:20:40
Sillanwali,31.8261,72.5398,95.63,11,51,15.08,PK,2022-05-22 19:21:47
Chokurdakh,70.6333,147.9167,32.68,100,100,3.36,RU,2022-05-22 19:21:48
Dunedin,-45.8742,170.5036,47.8,66,67,3.0,NZ,2022-05-22 19:21:48
New Norfolk,-42.7826,147.0587,49.91,84,74,2.37,AU,2022-05-22 19:21:48
Ushuaia,-54.8,-68.3,40.62,81,20,5.75,AR,2022-05-22 19:21:02
Santa Maria,-29.6842,-53.8069,67.3,56,0,3.44,BR,2022-05-22 19:19:06
Pringsewu,-5.3582,104.9744,73.11,96,76,1.39,ID,2022-05-22 19:21:49
Tacuarembó,-31.7333,-55.9833,64.94,60,0,3.78,UY,2022-05-22 19:21:49
Mataura,-46.1927,168.8643,44.33,91,100,7.65,NZ,2022-05-22 19:21:50
Ormond Beach,29.2858,-81.0559,95.16,71,40,13.8,US,2022-05-22 19:18:51
Oistins,13.0667,-59.5333,84.29,70,40,18.41,BB,2022-05-22 19:21:50
Mahébourg,-20.4081,57.7,75.49,64,40,10.36,MU,2022-05-22 19:21:51
Zhigansk,66.7697,123.3711,36.52,76,100,5.12,RU,2022-05-22 19:21:51
Half Moon Bay,37.4636,-122.4286,80.82,55,20,14.97,US,2022-05-22 19:17:47
Fort Smith,35.3859,-94.3986,61.38,72,100,6.91,US,2022-05-22 19:21:51
Avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,2022-05-22 19:21:52
Nabire,-3.3667,135.4833,74.97,91,58,3.29,ID,2022-05-22 19:21:52
Camaná,-16.6228,-72.7111,69.13,73,76,9.82,PE,2022-05-22 19:21:52
Great Falls,47.5002,-111.3008,57.67,35,0,6.91,US,2022-05-22 19:21:48
Luino,46.0019,8.7451,77.38,85,75,6.91,IT,2022-05-22 19:21:53
Chifeng,42.2683,118.9636,66.78,48,100,5.08,CN,2022-05-22 19:21:53
Tuktoyaktuk,69.4541,-133.0374,23.0,74,100,9.22,CA,2022-05-22 19:19:32
Upernavik,72.7868,-56.1549,32.61,100,100,6.2,GL,2022-05-22 19:21:54
Makakilo City,21.3469,-158.0858,78.69,65,100,11.5,US,2022-05-22 19:21:45
Kavieng,-2.5744,150.7967,82.67,67,14,17.22,PG,2022-05-22 19:21:54
Ahipara,-35.1667,173.1667,58.89,75,100,10.22,NZ,2022-05-22 19:21:55
Paramonga,-10.6667,-77.8333,68.9,74,15,7.81,PE,2022-05-22 19:21:55
Carutapera,-1.195,-46.02,80.8,87,29,4.88,BR,2022-05-22 19:21:55
Nha Trang,12.25,109.1833,80.6,85,100,4.7,VN,2022-05-22 19:21:56
Comodoro Rivadavia,-45.8667,-67.5,49.86,40,20,16.11,AR,2022-05-22 19:21:57
Murgab,37.4966,61.9714,62.47,59,0,6.91,TM,2022-05-22 19:21:58
Cape Town,-33.9258,18.4232,59.41,86,0,3.44,ZA,2022-05-22 19:20:22
Mindelo,16.8901,-24.9804,74.75,64,20,21.85,CV,2022-05-22 19:21:59
Norman Wells,65.282,-126.8329,44.64,49,75,5.75,CA,2022-05-22 19:21:59
Kapaa,22.0752,-159.319,78.78,83,100,12.66,US,2022-05-22 19:22:00
Margate,51.3813,1.3862,64.31,72,100,1.99,GB,2022-05-22 19:22:00
Mar del Plata,-38.0023,-57.5575,62.62,58,0,6.91,AR,2022-05-22 19:22:00
West Bay,19.3667,-81.4167,87.01,76,20,10.36,KY,2022-05-22 19:20:13
Grindavik,63.8424,-22.4338,55.35,66,0,20.71,IS,2022-05-22 19:22:01
Manokwari,-0.8667,134.0833,78.26,73,86,3.91,ID,2022-05-22 19:22:01
Vao,-22.6667,167.4833,74.88,86,100,9.66,NC,2022-05-22 19:22:01
Piranshahr,36.701,45.1413,60.35,42,59,3.87,IR,2022-05-22 19:22:02
Camocim,-2.9022,-40.8411,80.76,83,27,4.59,BR,2022-05-22 19:22:02
Busselton,-33.65,115.3333,61.27,67,65,23.49,AU,2022-05-22 19:22:03
Saint-Philippe,-21.3585,55.7679,71.19,76,38,11.23,RE,2022-05-22 19:22:03
Muros,42.7762,-9.0603,63.09,92,76,8.84,ES,2022-05-22 19:22:03
Jamestown,42.097,-79.2353,57.52,95,100,8.05,US,2022-05-22 19:22:04
Port-Gentil,-0.7193,8.7815,78.76,83,75,8.05,GA,2022-05-22 19:22:04
Iqaluit,63.7506,-68.5145,26.33,86,100,25.32,CA,2022-05-22 19:17:28
La Ronge,55.1001,-105.2842,64.65,14,75,14.97,CA,2022-05-22 19:22:04
Souillac,-20.5167,57.5167,75.58,64,40,10.36,MU,2022-05-22 19:22:05
Quatre Cocos,-20.2078,57.7625,75.31,70,25,15.64,MU,2022-05-22 19:22:05
Lompoc,34.6391,-120.4579,77.68,65,0,16.11,US,2022-05-22 19:22:06
Severo-Kuril'sk,50.6789,156.125,40.86,96,100,15.37,RU,2022-05-22 19:22:06
Hilo,19.7297,-155.09,87.28,65,40,6.91,US,2022-05-22 19:22:06
Shar,49.5886,81.0453,59.31,48,100,14.54,KZ,2022-05-22 19:22:07
Zhigalovo,54.8097,105.1578,45.05,85,100,0.54,RU,2022-05-22 19:22:07
Sechura,-5.5569,-80.8222,78.93,57,3,13.62,PE,2022-05-22 19:22:07
Port Alfred,-33.5906,26.891,60.37,79,60,4.07,ZA,2022-05-22 19:18:19
Tsumeb,-19.2333,17.7167,56.05,33,0,7.43,NA,2022-05-22 19:22:08
Cayenne,4.9333,-52.3333,80.1,1,75,4.61,GF,2022-05-22 19:22:09
Nazas,25.2333,-104.1333,93.38,14,0,11.18,MX,2022-05-22 19:22:09
Saskylakh,71.9167,114.0833,33.96,99,100,6.42,RU,2022-05-22 19:22:09
Holme,56.1138,10.1725,58.57,72,100,2.64,DK,2022-05-22 19:22:10
Susanville,40.4163,-120.653,68.67,27,0,8.05,US,2022-05-22 19:22:10
Constitución,-35.3333,-72.4167,53.94,86,100,9.53,CL,2022-05-22 19:22:11
Klaksvík,62.2266,-6.589,49.12,89,53,3.78,FO,2022-05-22 19:22:11
Herat Province,34.5,62.0,56.64,40,0,8.28,AF,2022-05-22 19:22:11
Kontagora,10.3999,5.4695,84.61,53,100,4.27,NG,2022-05-22 19:22:12
Koslan,63.4564,48.8989,30.94,93,100,12.21,RU,2022-05-22 19:22:12
Grøa,62.65,8.7167,57.56,64,100,3.56,NO,2022-05-22 19:22:12
